date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:29:50	81708/81708	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:23%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/3/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/3/index.html	(from https://makesaz.com/)
23:29:51	82532/82532	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:26%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/4/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/4/index.html	(from https://makesaz.com/)
23:29:51	82735/82735	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:17%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/5/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/5/index.html	(from https://makesaz.com/)
23:29:51	120926/120926	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:28:00%20GMT	https://makesaz.com/wp-content/uploads/2021/05/dog-4415649_1280-1-1024x678.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/05/dog-4415649_1280-1-1024x678.jpg	(from https://makesaz.com/)
23:29:52	82659/82659	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:14%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/6/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/6/index.html	(from https://makesaz.com/)
23:29:52	8970/8970	---MCZ	200	added ('OK')	application/javascript	etag:W/%226197c5cf-3508%22	https://stats.wp.com/e-202202.js	C:/My%20Web%20Sites/https___makesaz.com_/stats.wp.com/e-202202.js	(from https://makesaz.com/)
23:29:52	82835/82835	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:25%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/7/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/7/index.html	(from https://makesaz.com/)
23:29:53	81673/81673	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:22%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/8/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/8/index.html	(from https://makesaz.com/)
23:29:53	81826/81826	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:16%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/9/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/9/index.html	(from https://makesaz.com/)
23:29:53	80883/80883	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2014:48:31%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/10/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/10/index.html	(from https://makesaz.com/)
23:29:54	5585/5585	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Jun%202021%2001:27:35%20GMT	https://makesaz.com/wp-content/plugins/wp-rocket/assets/js/lazyload/12.0/lazyload.min.js	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/wp-rocket/assets/js/lazyload/12.0/lazyload.min.js	(from https://makesaz.com/)
23:29:54	376339/376339	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:12%20GMT	https://makesaz.com/how-dogs-cry-for-help/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/how-dogs-cry-for-help/index.html	(from https://makesaz.com/)
23:29:54	125677/125677	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:33%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/index.html	(from https://makesaz.com/)
23:29:55	124463/124463	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:36%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/3/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/3/index.html	(from https://makesaz.com/)
23:29:56	124529/124529	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:39%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/4/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/4/index.html	(from https://makesaz.com/)
23:29:57	124233/124233	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:31%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/5/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/5/index.html	(from https://makesaz.com/)
23:29:57	161025/161025	---M--	200	added ('OK')	application/javascript	date:Mon,%2020%20Dec%202021%2022:53:56%20GMT	https://makesaz.com/wp-content/cache/min/1/0b51bea67bd9719af0a22ed7b2c0fc30.js	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/cache/min/1/0b51bea67bd9719af0a22ed7b2c0fc30.js	(from https://makesaz.com/)
23:29:57	124803/124803	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:28%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/6/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/6/index.html	(from https://makesaz.com/)
23:29:57	124317/124317	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:55%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/2/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/2/index.html	(from https://makesaz.com/)
23:29:58	124561/124561	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:37%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/7/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/7/index.html	(from https://makesaz.com/)
23:29:58	124673/124673	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:34%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/8/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/8/index.html	(from https://makesaz.com/)
23:29:59	124331/124331	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:30%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/9/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/9/index.html	(from https://makesaz.com/)
23:29:59	932/932	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:30:00%20GMT	https://makesaz.com/wp-content/plugins/sassy-social-share/images/transparent_bg.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/sassy-social-share/images/transparent_bg.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:29:59	4529/4529	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/arrows.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/arrows.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:00	10063/10063	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/arrows-2x.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/arrows-2x.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:01	123340/123340	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:30:00%20GMT	https://makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/10/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/can-you-understand-dogs-language-10-ways-dogs-show-their-love-for-you/10/index.html	(from https://makesaz.com/)
23:30:01	1318/1318	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/carousel-sprite.png?5	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/carousel-spritee4da.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:02	2076/2076	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/carousel-sprite-2x.png?5	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/carousel/images/carousel-sprite-2xe4da.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:03	1009/1009	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:04	1944/1944	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls-2x.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls-2x.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:05	5704/5704	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/images/slide-nav.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/images/slide-nav.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:06	2039/2039	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/images/expand.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/images/expand.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:07	2072/2072	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Jun%202021%2001:18:33%20GMT	https://makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/images/collapse.png	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/plugins/jetpack/modules/shortcodes/images/collapse.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:08	21370/21370	---M--	200	added ('OK')	image/png	etag:%22508ff2f2-537a%22	https://secure.gravatar.com/images/grav-share-sprite.png	C:/My%20Web%20Sites/https___makesaz.com_/secure.gravatar.com/images/grav-share-sprite.png	(from https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css)
23:30:09	564/564	---MC-	200	added ('OK')	application/json	date:Sat,%2015%20Jan%202022%2022:30:08%20GMT	https://makesaz.com/wp-json/wp/v2/categories/2	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/wp/v2/categories/2.json	(from https://makesaz.com/category/dogs/)
23:30:09	34110/34110	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2003%20Jun%202021%2023:51:36%20GMT	https://makesaz.com/category/dogs/feed/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/category/dogs/feed/index.html	(from https://makesaz.com/category/dogs/)
23:30:12	6374/6374	---MC-	200	added ('OK')	application/json	date:Sat,%2015%20Jan%202022%2022:30:10%20GMT	https://makesaz.com/wp-json/wp/v2/pages/3	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/wp/v2/pages/3.json	(from https://makesaz.com/privacy-policy/)
23:30:12	370869/370869	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2023:02:48%20GMT	https://makesaz.com/wp-content/cache/min/1/67093ecf7b4fcea239a164548560a853.css	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/cache/min/1/67093ecf7b4fcea239a164548560a853.css	(from https://makesaz.com/privacy-policy/)
23:30:12	848/848	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2015%20Jan%202022%2022:30:11%20GMT	https://makesaz.com/privacy-policy/feed/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/privacy-policy/feed/index.html	(from https://makesaz.com/privacy-policy/)
23:30:14	2251/2251	---MC-	200	added ('OK')	application/json	date:Sat,%2015%20Jan%202022%2022:30:12%20GMT	https://makesaz.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmakesaz.com%2Fprivacy-policy%2F	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/oembed/1.0/embedc787.json	(from https://makesaz.com/privacy-policy/)
23:30:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Jan%202022%2022:30:13%20GMT	https://makesaz.com/?p=3	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/index2207.html	(from https://makesaz.com/privacy-policy/)
23:30:15	2343/2343	---MC-	200	added ('OK')	text/xml	date:Sat,%2015%20Jan%202022%2022:30:14%20GMT	https://makesaz.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmakesaz.com%2Fprivacy-policy%2F&format=xml	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/oembed/1.0/embed3419	(from https://makesaz.com/privacy-policy/)
23:30:17	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2015%20Jan%202022%2022:30:16%20GMT	https://makesaz.com/xmlrpc.php	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/xmlrpc.19.delayed	(from https://makesaz.com/privacy-policy/)
23:30:17	41416/41416	---M-Z	200	added ('OK')	application/javascript	etag:%2241bafcdadbe6dc0724aa16e16c91d77f%22	http://assets.pinterest.com/js/pinmarklet.js?r=	C:/My%20Web%20Sites/https___makesaz.com_/assets.pinterest.com/js/pinmarklet2a3b.js	(from https://makesaz.com/privacy-policy/)
23:30:19	215536/215536	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20Dec%202021%2017:48:35%20GMT	https://makesaz.com/wp-content/cache/min/1/d37c1f6997ea238576d31ebe2ba9eb64.js	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/cache/min/1/d37c1f6997ea238576d31ebe2ba9eb64.js	(from https://makesaz.com/privacy-policy/)
23:30:21	1020/1020	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2015%20Jan%202022%2022:30:20%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/feed/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/feed/index.html	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:21	88010/88010	---MC-	200	added ('OK')	application/json	date:Sat,%2015%20Jan%202022%2022:30:19%20GMT	https://makesaz.com/wp-json/wp/v2/posts/59	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/wp/v2/posts/59.json	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:22	2645/2645	---MC-	200	added ('OK')	application/json	date:Sat,%2015%20Jan%202022%2022:30:21%20GMT	https://makesaz.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmakesaz.com%2F10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love%2F	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/oembed/1.0/embedac9c.json	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Jan%202022%2022:30:22%20GMT	https://makesaz.com/?p=59	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/index1098.html	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:24	2775/2775	---MC-	200	added ('OK')	text/xml	date:Sat,%2015%20Jan%202022%2022:30:23%20GMT	https://makesaz.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmakesaz.com%2F10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love%2F&format=xml	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/oembed/1.0/embedf504	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:24	149968/149968	---MC-	200	added ('OK')	text/javascript	date:Sat,%2015%20Jan%202022%2022:30:24%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/https___makesaz.com_/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:26	71233/71233	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:29:51%20GMT	https://makesaz.com/wp-content/uploads/2021/06/animal-portrait-2499092_640.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/animal-portrait-2499092_640.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:26	28865/28865	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:27:38%20GMT	https://makesaz.com/wp-content/uploads/2021/05/open-next-page.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/05/open-next-page.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:28	218522/218522	---M--	200	added ('OK')	application/javascript	date:Mon,%2020%20Dec%202021%2023:02:48%20GMT	https://makesaz.com/wp-content/cache/min/1/2e169003cfd59af2d34a65a26b474239.js	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/cache/min/1/2e169003cfd59af2d34a65a26b474239.js	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/)
23:30:28	104754/104754	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:29:16%20GMT	https://makesaz.com/wp-content/uploads/2021/06/beagle-3877115_640.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/beagle-3877115_640.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/2/)
23:30:30	218523/218523	---M--	200	added ('OK')	application/javascript	date:Mon,%2020%20Dec%202021%2023:03:22%20GMT	https://makesaz.com/wp-content/cache/min/1/adc6f59600bc424c59da37c91ab3c2ce.js	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/cache/min/1/adc6f59600bc424c59da37c91ab3c2ce.js	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/2/)
23:30:30	72087/72087	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:29:33%20GMT	https://makesaz.com/wp-content/uploads/2021/06/dog-1606600_640.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/dog-1606600_640.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/3/)
23:30:30	40438/40438	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:28:18%20GMT	https://makesaz.com/wp-content/uploads/2021/06/pug-4314106_640.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/pug-4314106_640.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/4/)
23:30:32	88486/88486	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:28:29%20GMT	https://makesaz.com/wp-content/uploads/2021/06/corgi-4267251_640.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/corgi-4267251_640.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/5/)
23:30:32	74005/74005	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:29:03%20GMT	https://makesaz.com/wp-content/uploads/2021/06/nature-3047194_640.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/nature-3047194_640.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/6/)
23:30:33	61727/61727	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:29:11%20GMT	https://makesaz.com/wp-content/uploads/2021/06/french-bulldog-4278114_640.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/french-bulldog-4278114_640.jpg	(from https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/7/)
